word_1,word_2,cosine_similarity
năm_âm_lịch,tháng_âm_lịch,0.5719293
đỡ_đần,suy_xét,0.15468964
bầm,mệ,0.04145194
dáng,tản_bộ,0.100916944
sinh_vật,tế_bào,0.4987182
nhau,rau,0.11630712
đồng_tình,phản_đối,0.29063934
thanh,dụng_cụ,0.14819665
điệu,háo,0.10802346
tử_trận,tiếp_sức,0.0830766
trù_dập,trù_úm,0.596376
tứ_kết,trận_đấu,0.4006946
tình_ca,ca_khúc,0.4831839
báo_ân,trả_thù,0.086929835
vững_tâm,vững_lòng,0.41541675
cũ_rích,mới_mẻ,0.19345522
lành,kẹt,0.028052699
tù,ngục,0.30755466
dày_cộp,mỏng_tang,0.31744155
cây_trồng,thầy_thuốc_nhân_dân,0.09141501
điều_hành,lục_lọi,0.012591045
tự_do,phần_cứng,0.0035618963
thu_ngân,dân_cư,0.10090909
cắt,tẩm,0.10504267
nghị_quyết,tài_liệu,0.16571493
ăn_nhậu,nhậu_nhẹt,0.7283214
gắn_kết,liên_kết,0.68769324
máy_tính,bộ_vi_xử_lý,0.5077456
cải_thiện,thuần_hoá,0.21408351
năng_lực,tột_độ,-0.013589533
an_dưỡng,tĩnh_dưỡng,0.54616463
di_chuyển,dời,0.33919364
ngoài,trong,0.12121631
cặp,đôi,0.37519398
cẳng,bắp_chân,0.30397135
chiến_tranh,hoà_bình,0.34582046
đau_đớn,làm_phiền,0.06940581
gia_tăng,lạm_phát,0.19862974
thói,thái_độ,0.43775165
mô_hình,cấu_trúc,0.42130068
mạo_danh,lừa_đảo,0.60759604
sếp,lãnh_đạo,0.32489756
thẻ,kỉ_vật,0.1112194
hỏi,đáp,0.40375832
tản_bộ,di_chuyển,0.38944378
chuệch_choạc,chệch_choạc,0.773368
giải_thích,ngấm,0.09437076
mách,mách_nước,0.53057086
nước_lớn,xuất_xứ,0.083488695
số_hoá,hoá_lỏng,0.13855357
cắt_giảm,trừ_khử,0.15933521
nhạc_nhẹ,cung_bậc,0.15172686
túm_tụm,quần_tụ,0.33966884
thị_giác,võng_mạc,0.45093045
người_làm,dân_chơi,0.15508711
phân_chia,phân_bổ,0.52846694
xâm_nhập,xuyên,0.19920376
thuộc_hạ,người_lớn,0.20046349
dịch_chuyển,tham_gia,0.031247776
bơi,ngụp,0.44057554
cư_dân,người_dân,0.58345795
khoan_thai,ung_dung,0.31503803
xe_tải,nóc,0.13102408
mùa_đông,đông_chí,0.3391486
lạc_hậu,tiên_tiến,0.29942644
chọc_ghẹo,biếu_xén,0.25047606
nền,cận_cảnh,-0.117092215
sư_tử,lăng_kính,0.007990256
nguyên_nhân,nguyên_do,0.8179893
dữ,hiền,0.15042709
phần_phụ,bộ_phận,0.19914345
anh_dũng,dũng_mãnh,0.14807725
buôn_bán,vận_tải,0.1900176
đâm_sầm,phóng,0.32445782
bò,đi,-0.0008110961
nội_tiết,luồng,0.00527334
dị_ứng,lương_tri,-0.011613799
vặn,vặn_vẹo,0.33296612
lùng_bùng,vắng_ngắt,0.17995015
chê,khen,0.25811458
tượng_đài,bảng_tổng_sắp,0.06362502
người_yêu,tình_nhân,0.4074056
thiện_cảm,ác_cảm,0.590968
trau_chuốt,phát_triển,0.13353497
gươm,lưỡi,0.25218034
bánh_xe,vành,0.46215487
tượng_đài,phân_bón,-0.08608104
nạc,búi,0.14359301
khung_thành,cầu_môn,0.905729
kĩ,sơ_sài,0.3576097
buồn,vui,0.6325065
nhược_điểm,ưu_điểm,0.6970441
quan_hệ,trạng_thái,0.17921901
đong_đưa,vung_vẩy,0.37250376
bừa_bãi,gọn_ghẽ,0.1642864
nhà_thơ,thi_nhân,0.6541988
máy_tính,vi_xử_lý,0.43724704
né_tránh,hích,0.087133974
địch,ta,0.34103692
lưu_thông,ách_tắc,0.2946166
thứ_yếu,rộng_rãi,0.038547397
đặt_chân,thay,0.20622364
dì_ghẻ,phụ_huynh,0.24376705
rỗi,rỗi_rãi,0.5151665
tái_phát,nhiễm_khuẩn,0.4095161
mầm,rau_quả,0.19994658
hạn_hán,lụt_lội,0.674216
lưỡng_lự,dứt_khoát,0.23061575
tung,cấp_phát,0.1835721
giầu,khó,0.13696781
làm_đẹp,cải_tạo,0.18459015
ban_mai,sớm_mai,0.47671184
quỳ,ví,0.056713816
bại_lộ,lộ,0.47076702
tính_cách,phẩm_chất,0.49444655
triều_đại,cổ_đại,0.27437586
lình_xình,nặng_tình,0.1704942
người_làm,người_bị_hại,0.1350079
chần_chừ,lảo_đảo,0.11293909
khử_trùng,sát_trùng,0.705227
